location;flower;freezing_days;gdd
1;1;71;7.45529849
2;0;97;6.72743172
3;0;107;7.15226886
4;1;99;7.45007957
5;1;95;6.87523209
6;1;93;7.17088848
7;1;78;6.81783057
8;1;103;7.30451595
9;1;107;7.3085428
10;1;79;7.44073371
11;0;118;6.76503898
12;0;92;7.17088848
13;1;69;7.14045304
14;0;81;6.7833252
15;1;61;6.79122146
16;0;101;6.83625928
17;0;101;7.46164039
18;0;118;7.12447826
19;1;95;7.12849595
20;1;68;7.17701877
21;0;104;7.33628566
22;0;92;6.87005341
23;1;67;7.10167597
24;1;108;7.28344823
25;0;62;6.45519856
26;0;110;7.24708058
27;1;61;7.3639135
28;1;93;7.31322039
29;1;96;7.36010397
30;1;106;7.22911388
31;1;98;7.11882625
32;1;74;7.46450983
33;0;112;6.99301512
34;1;63;6.78445706
35;1;63;6.43133108
36;0;105;6.78445706
37;0;109;6.91075079
38;0;108;6.94601399
39;1;111;7.47477218
40;0;104;6.98471632
41;1;90;6.84694314
42;0;105;6.73815249
43;0;115;7.28482091
44;1;60;7.27793857
45;0;75;6.77422389
46;1;72;6.78105763
47;0;111;7.3065314
48;0;94;6.90274274
49;0;88;7.11151212
50;1;59;7.3588309
51;1;63;7.24351297
52;0;108;6.70808408
53;1;114;7.44541756
54;0;115;7.20785987
55;1;62;6.82219739
56;1;67;7.33693691
57;1;64;6.89669433
58;1;90;7.48549161
59;0;106;6.86484778
60;0;82;6.33327963
61;1;75;6.95463886
62;1;69;7.34858753
63;0;86;6.82328612
64;0;63;6.5366916
65;1;69;6.85329909
66;1;62;6.96413561
67;0;59;6.21860012
68;1;72;7.25981961
69;0;89;6.37672695
70;1;63;7.2943773
71;1;101;6.98933527
72;1;88;7.10332206
73;1;62;7.19593723
74;0;98;7.17165682
75;1;69;6.295266
76;1;78;7.41697962
77;0;118;7.27793857
78;0;99;6.94215671
79;0;73;6.89060912
80;0;115;7.04925484
81;0;115;7.22329568
82;1;78;7.27239839
83;0;112;6.40522846
84;1;62;7.32383057
85;1;82;6.7117404
86;1;118;7.33106031
87;1;64;7.05617528
88;0;84;6.25382881
89;1;89;7.3125535
90;1;62;7.26682735
91;1;90;7.44716836
92;1;91;6.73815249
93;1;81;7.12044437
94;1;69;7.25063551
95;1;58;7.47250074
96;1;81;7.31322039
97;0;105;6.40025745
98;1;74;6.93147181
99;1;70;6.55535689
100;1;106;7.3714893
101;1;105;7.3085428
102;0;91;6.85751406
103;1;75;7.03966035
104;1;76;7.45007957
105;1;112;7.44366368
106;1;115;7.18690102
107;0;107;6.62804138
108;0;82;7.00850518
109;1;97;6.70563909
110;1;60;6.76041469
111;1;61;7.30586003
112;1;76;7.01121399
113;0;109;6.76272951
114;1;61;7.10660614
115;1;119;7.30114781
116;1;74;7.34342623
117;0;102;6.26720055
118;1;75;6.77650699
119;1;59;7.06646697
120;1;67;7.17395832
121;0;91;7.12528309
122;0;87;6.99942247
123;1;70;7.06047637
124;1;58;7.40062058
125;1;60;7.29097478
126;0;106;7.48549161
127;0;114;7.10987946
128;0;106;6.31716469
129;0;100;7.28276118
130;0;112;6.90374726
131;0;108;6.3851944
132;1;91;7.34794382
133;0;107;6.90575328
134;1;98;7.27378632
135;0;69;6.22257627
136;1;77;7.18992217
137;0;87;7.13329595
138;1;91;7.09837564
139;1;68;7.28138566
140;0;77;6.50727771
141;1;93;7.00669523
142;1;70;6.27287701
143;0;85;6.76619171
144;1;92;7.48042831
145;1;66;7.11558213
146;0;89;6.67834211
147;0;82;6.88243747
148;0;106;6.23441073
149;1;81;7.16626597
150;1;61;7.138867
151;1;108;7.37211803
152;0;84;6.28971557
153;0;84;6.63068339
154;0;85;6.76272951
155;1;90;7.37400186
156;0;67;6.79570578
157;0;89;6.26530121
158;0;105;6.85751406
159;0;114;7.3498737
160;1;83;7.42356844
161;1;85;6.90073066
162;0;110;7.01481435
163;1;75;6.56526497
164;1;115;7.49220304
165;0;87;7.05272105
166;1;108;7.35691824
167;0;63;6.66440902
168;1;69;7.27239839
169;1;96;7.47816969
170;1;59;6.71901315
171;1;101;7.41818082
172;1;87;7.14045304
173;1;107;7.14045304
174;1;59;6.5998705
175;0;91;6.60934924
176;0;118;6.94697599
177;0;103;7.21670949
178;1;60;6.71417053
179;1;74;7.1538338
180;1;67;7.01571242
181;0;108;6.63200178
182;0;120;6.69456206
183;0;83;7.03174126
184;1;101;6.93925395
185;1;80;7.48493028
186;1;72;6.94215671
187;0;115;7.13727844
188;1;62;7.04228617
189;0;102;7.09672138
190;1;102;7.34471905
191;1;114;7.40549566
192;1;70;6.41345896
193;1;81;7.4905294
194;0;114;7.31055016
195;0;67;6.55108034
196;1;102;7.48324442
197;0;108;6.6821086
198;0;105;7.03438793
199;0;116;7.40062058
200;1;65;6.74758653
201;1;96;7.3258075
202;1;84;7.14677218
203;1;103;7.17395832
204;0;105;6.3851944
205;0;117;6.96318999
206;0;102;7.05444966
207;0;102;6.93828448
208;1;84;7.46049031
209;0;70;6.2441669
210;0;70;6.61204103
211;1;80;7.06731985
212;1;95;7.30586003
213;0;108;6.80017007
214;0;114;6.86066367
215;1;60;6.9902565
216;1;62;6.94889722
217;1;76;7.22329568
218;1;116;7.45182224
219;1;67;7.18916774
220;1;70;7.20785987
221;0;97;6.49223984
222;0;90;6.68959927
223;1;79;7.06304816
224;0;109;6.30261898
225;1;111;7.44132039
226;0;106;6.94601399
227;1;73;7.20711886
228;0;107;6.69208374
229;0;102;7.09754885
230;1;79;6.74170069
231;1;62;6.78897174
232;1;70;6.72022016
233;1;93;7.28138566
234;0;105;6.63594656
235;0;76;6.23636959
236;1;77;7.32448998
237;0;115;7.02286809
238;0;100;7.25700271
239;1;84;7.34794382
240;1;82;7.28482091
241;0;110;6.84268328
242;1;95;7.21670949
243;0;100;7.08757371
244;0;91;6.53233429
245;0;116;7.40306109
246;0;91;7.19293422
247;0;99;6.80350526
248;0;84;6.98286275
249;0;117;7.34407285
250;0;111;7.11963564
251;1;102;7.38523092
252;0;113;6.92165818
253;0;106;7.24992554
254;0;103;6.25766759
255;1;60;6.94022247
256;0;114;6.28971557
257;1;60;7.34213173
258;1;62;6.53813982
259;0;101;6.47234629
260;1;101;7.39449311
261;1;74;7.05012252
262;0;85;6.22455843
263;1;84;7.00850518
264;1;61;7.39141523
265;1;83;7.36201055
266;1;67;6.93342303
267;1;113;7.46965417
268;1;60;7.47136309
269;0;106;6.65157187
270;0;94;6.88653164
271;0;112;6.49223984
272;0;106;7.11069612
273;1;69;7.22475341
274;1;88;7.34148385
275;0;93;6.56526497
276;1;68;6.63725803
277;1;92;7.35372233
278;0;106;6.65672652
279;0;92;6.52649486
280;1;73;7.23777819
281;0;83;7.13727844
282;0;119;7.48829352
283;0;107;7.24494155
284;0;88;6.28785856
285;0;80;6.78219206
286;1;106;7.45471995
287;0;114;7.28344823
288;0;116;7.17472431
289;1;91;7.3065314
290;1;68;6.70686234
291;1;89;7.31986493
292;1;68;7.18841274
293;1;86;7.12125245
294;1;59;7.22838845
295;0;110;7.15617664
296;1;64;7.23561914
297;0;119;6.7787849
298;0;101;6.59304453
299;0;97;6.4738907
300;1;99;7.43602782
301;0;100;6.96224346
302;0;119;7.2882444
303;1;63;6.4035742
304;1;60;6.82437367
305;1;88;7.16626597
306;0;118;7.01750614
307;0;74;6.48004456
308;1;78;7.22329568
309;1;60;6.50128967
310;1;65;6.90173721
311;1;68;6.98564182
312;0;117;6.7117404
313;0;98;6.51025834
314;1;59;6.37842618
315;0;104;6.94022247
316;1;64;6.96602419
317;0;89;6.86693328
318;0;115;7.0749632
319;0;62;6.69950034
320;1;61;7.30182234
321;1;85;7.44833386
322;1;91;7.09007684
323;1;62;6.97821374
324;1;81;7.31322039
325;0;107;7.04577658
326;0;120;7.13169851
327;1;59;6.99484999
328;1;70;6.80239476
329;0;106;6.8721281
330;1;101;7.40913644
331;1;68;7.12205988
332;0;105;7.08840878
333;1;64;7.37400186
334;1;107;7.30182234
335;0;113;6.90274274
336;0;85;6.3044488
337;0;116;7.09257372
338;0;97;6.83195357
339;1;74;7.40184158
340;0;79;6.62406523
341;0;119;7.01301579
342;1;85;7.35819375
343;0;104;6.97447891
344;0;96;6.32435896
345;1;75;6.91373735
346;1;90;7.17242458
347;0;89;6.92853782
348;1;63;7.45182224
349;0;78;7.10660614
350;1;85;7.13648321
